,cumulative_return,annualized_return,annualized_volatility,downside_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,beta,alpha_annualized,r_squared,var_95,cvar_95,max_drawdown
AAPL,0.35680631175192445,0.09947435546195335,0.2710062194814057,0.19014365894095053,0.3670556183260528,0.5231536829363597,0.33352932549986813,1.1910157886562633,-0.0012002935232469215,0.5737211784712999,-0.02933539457362571,-0.039502734382075834,-0.29824770374499704
CL=F,-0.3292718484278918,-0.13020261780240414,0.37212347852925043,0.2657442833850862,-0.3498908972822839,-0.48995453879144935,-0.2779303584639634,0.2158714215110062,-0.14844988185511354,0.009996328484502756,-0.04029632148168477,-0.05573708343371948,-0.46847209683027946
GC=F,0.5890135714609366,0.15097617588193757,0.14506989115606003,0.10062818830157803,1.0407133739386611,1.5003368184416572,0.7389792390961013,0.0907854511962547,0.14330222771164694,0.011633283244970542,-0.015314367638186981,-0.020497492295316302,-0.20430367714606895
GLD,0.5640348265360784,0.14581082171967613,0.14542525173573229,0.09463587750266743,1.002651327601925,1.5407562709561844,0.6932529918775696,0.1461137250730733,0.13346006354857928,0.029986566234911097,-0.014907752022718586,-0.0198327315644086,-0.2103284420378336
JPM,0.9342265391669846,0.21506636009470473,0.24390371489717314,0.17025827848530553,0.881767463793547,1.2631771095539794,0.8057250805950817,0.8823246885780571,0.14048487330031897,0.38872671916170687,-0.02378121414591914,-0.03545486212455728,-0.26692275724601233
QQQ,0.40326249547033677,0.11044963728999307,0.2322013094822108,0.16316526980952148,0.47566328345127074,0.6769187917191665,0.37362355737152997,1.2856309499358358,0.0017773209008654085,0.9106000480280213,-0.023984470085421615,-0.03367452084584862,-0.29561743394076817
SPY,0.3543810642047882,0.09889111492818464,0.17243335859745065,0.1238404325766913,0.5735033854965851,0.798536575418887,0.4475753604181844,0.9998132674346093,0.014378507531696515,0.998664418113845,-0.0169274437067236,-0.025458974944601136,-0.22094852325156464
TSLA,-0.08528755537549415,-0.029061673841946235,0.6175794553905604,0.421064144451462,-0.0470573844195764,-0.0690195881670383,-0.04053911420119932,2.031269756970139,-0.2007616393041517,0.32134672982475293,-0.06497014781623221,-0.08876473702561342,-0.71687984344479
^GSPC,0.2960063361612477,0.08452839159989993,0.17235035411249275,0.12367917213168955,0.4904451286750964,0.6834488794111336,0.37124295344157904,1.0,0.0,1.0,-0.016768683017784166,-0.025496613691722105,-0.22769022500302302
